Designator,Mid X,Mid Y,Rotation,Layer
C101,86.175,-125.4,0.0,top
C103,88.45,-121.25,0.0,top
C104,88.45,-118.75,0.0,top
C201,93.25,-124.2,180.0,top
C202,93.25,-131.15,180.0,top
C203,101.0,-142.4,270.0,top
C204,108.4,-142.925,270.0,top
C205,113.4,-142.9,270.0,top
C206,121.9,-142.9,270.0,top
C207,129.1,-128.6,0.0,top
C208,129.1,-113.7,0.0,top
C209,113.2,-107.4,90.0,top
C210,108.2,-107.4,90.0,top
C211,99.35,-107.35,90.0,top
C212,97.4,-107.1,90.0,top
C213,129.1,-122.8,0.0,top
C214,129.3,-120.9,0.0,top
C215,93.05,-118.75,180.0,top
C216,92.85,-116.8,180.0,top
C217,93.25,-134.4,180.0,top
C218,88.7,-136.55,180.0,top
C219,119.95,-143.1,270.0,top
C220,129.3,-115.65,0.0,top
C221,93.25,-132.75,180.0,top
C222,88.65,-132.65,0.0,top
C223,68.199998,-153.699998,180.0,top
C224,68.2,-151.399997,180.0,top
C227,68.25,-145.699998,180.0,top
C228,68.25,-143.399996,180.0,top
C301,125.028745,-101.7,180.0,top
C302,124.828744,-99.7,180.0,top
C401,63.25,-97.5,0.0,top
C402,118.0,-84.825,90.0,top
C403,126.4,-84.825,90.0,top
C501,80.034523,-122.55,270.0,top
C502,73.534523,-118.9,0.0,top
C601,80.284523,-113.6,270.0,top
C602,73.559523,-109.85,0.0,top
C701,79.984523,-131.7,270.0,top
C702,73.434523,-128.0,0.0,top
D201,88.9375,-115.0,0.0,top
D202,69.4,-159.1,180.0,top
D203,69.4,-163.595094,180.0,top
D401,143.65,-138.85,90.0,top
D402,139.7,-138.85,90.0,top
F201,61.842557,-154.080291,270.0,top
F202,55.847464,-154.08029,270.0,top
J301,141.378745,-99.8362,90.0,top
J401,147.0,-125.0,90.0,top
J402,56.9,-124.9,270.0,top
J403,71.2,-82.0,90.0,top
J404,89.25,-96.0,90.0,top
J405,71.25,-96.0,90.0,top
J406,80.2,-82.0,90.0,top
J407,83.6,-153.875,90.0,top
J408,110.6,-153.875,90.0,top
J409,98.25,-96.0,90.0,top
J410,89.2,-82.0,90.0,top
J411,98.2,-82.0,90.0,top
J412,101.6,-153.875,90.0,top
J413,92.6,-153.875,90.0,top
J414,119.6,-153.875,90.0,top
J415,107.4,-167.2,270.0,top
J416,80.25,-96.0,90.0,top
J417,107.2,-82.0,90.0,top
L201,88.7,-138.7,0.0,top
R101,97.525,-153.79,180.0,top
R102,97.525,-156.3,180.0,top
R201,88.5,-134.6,180.0,top
R202,68.2,-168.9,180.0,top
R203,72.25,-167.05,0.0,top
R204,68.2,-167.05,180.0,top
R205,72.25,-168.9,0.0,top
R301,128.478745,-100.3,180.0,top
R302,128.478745,-103.95,180.0,top
R303,128.478745,-105.55,180.0,top
R304,128.478745,-97.1,180.0,top
R305,128.478745,-98.7,180.0,top
R306,129.328745,-107.975,90.0,top
R401,143.2,-131.7,180.0,top
R402,143.2,-133.6,180.0,top
R403,69.25,-112.8,270.0,top
R404,69.2,-121.9,270.0,top
R405,69.2,-130.95,270.0,top
R406,63.25,-89.5,0.0,top
R407,118.0,-88.0,90.0,top
R408,126.4,-88.0,90.0,top
SW401,57.0,-91.4,0.0,top
SW402,57.0,-99.4,0.0,top
SW403,122.2,-82.6,90.0,top
SW404,130.6,-82.6,90.0,top
SWD401,142.4,-114.6,180.0,top
U101,110.0,-125.0,0.0,top
U201,74.6,-151.4,0.0,top
U203,74.6,-143.399994,0.0,top
U501,75.234523,-122.5555,180.0,top
U601,75.234523,-113.6055,180.0,top
U701,75.134523,-131.7055,180.0,top
X101,86.5,-128.1,0.0,top
Y101,85.45,-120.0,270.0,top
