Designator,Mid X,Mid Y,Rotation,Layer
C101,61.175,-105.4,0.0,top
C103,63.45,-101.25,0.0,top
C104,63.45,-98.75,0.0,top
C201,68.25,-104.2,180.0,top
C202,68.25,-111.15,180.0,top
C203,76.0,-122.4,270.0,top
C204,83.4,-122.925,270.0,top
C205,88.4,-122.9,270.0,top
C206,96.9,-122.9,270.0,top
C207,104.1,-108.6,0.0,top
C208,104.1,-93.7,0.0,top
C209,88.2,-87.4,90.0,top
C210,83.2,-87.4,90.0,top
C211,74.35,-87.35,90.0,top
C212,72.4,-87.1,90.0,top
C213,104.1,-102.8,0.0,top
C214,104.3,-100.9,0.0,top
C215,68.05,-98.75,180.0,top
C216,67.85,-96.8,180.0,top
C217,68.25,-114.4,180.0,top
C218,63.7,-116.55,180.0,top
C219,94.95,-123.1,270.0,top
C220,104.3,-95.65,0.0,top
C221,68.25,-112.75,180.0,top
C222,63.65,-112.65,0.0,top
C223,43.199998,-133.699998,180.0,top
C224,43.2,-131.399997,180.0,top
C227,43.25,-125.699998,180.0,top
C228,43.25,-123.399996,180.0,top
C301,100.028745,-81.7,180.0,top
C302,99.828744,-79.7,180.0,top
C401,55.0,-146.05,0.0,top
C402,101.4,-66.1,90.0,top
C403,108.456601,-66.052298,90.0,top
C501,55.034523,-102.55,270.0,top
C502,48.534523,-98.9,0.0,top
C601,55.284523,-93.6,270.0,top
C602,48.559523,-89.85,0.0,top
C701,54.984523,-111.7,270.0,top
C702,48.434523,-108.0,0.0,top
D201,63.9375,-95.0,180.0,top
D202,44.4,-139.1,180.0,top
D203,44.4,-143.595094,180.0,top
D401,118.65,-118.85,90.0,top
D402,114.7,-118.85,90.0,top
D403,116.4,-91.2,0.0,top
D404,116.387501,-94.058577,0.0,top
D405,116.387501,-96.658579,0.0,top
D406,50.212499,-138.6,180.0,top
F201,36.842557,-134.080291,270.0,top
F202,30.847464,-134.08029,270.0,top
J301,116.378745,-79.8362,90.0,top
J401,122.0,-105.0,90.0,top
J402,31.48,-104.9,270.0,top
J403,84.684415,-132.972663,270.0,top
J404,45.749999,-58.749999,0.0,top
J405,52.749999,-58.749999,0.0,top
J406,59.749999,-58.749999,0.0,top
J407,66.977276,-61.681807,270.0,top
J408,72.477276,-61.681807,270.0,top
J409,77.977276,-61.681807,270.0,top
J410,45.749999,-65.749998,0.0,top
J411,52.749999,-65.749998,0.0,top
J412,59.749999,-65.749998,0.0,top
J413,44.977276,-76.181807,270.0,top
J414,50.477276,-76.181808,270.0,top
J415,55.977276,-76.181805,270.0,top
J416,61.477276,-76.181807,270.0,top
J417,66.977276,-76.181807,270.0,top
J418,72.477276,-76.181807,270.0,top
J419,77.977276,-76.181807,270.0,top
J420,85.0,-75.25,90.0,top
J421,62.5,-147.25,90.0,top
J422,68.95,-148.249998,270.0,top
J423,74.45,-148.25,270.0,top
J424,79.95,-148.25,270.0,top
J425,85.45,-148.25,270.0,top
J426,90.95,-148.25,270.0,top
J427,97.25,-147.25,90.0,top
JP401,108.8,-92.9,180.0,top
L201,63.7,-118.7,0.0,top
R101,59.8,-84.2,270.0,top
R102,63.9,-84.2,90.0,top
R201,63.5,-114.6,180.0,top
R202,43.2,-148.9,180.0,top
R203,47.25,-147.05,0.0,top
R204,43.2,-147.05,180.0,top
R205,47.25,-148.9,0.0,top
R301,103.478745,-80.3,180.0,top
R302,103.478745,-83.95,180.0,top
R303,103.478745,-85.55,180.0,top
R304,103.478745,-77.1,180.0,top
R305,103.478745,-78.7,180.0,top
R306,104.328745,-87.975,90.0,top
R401,118.2,-111.7,180.0,top
R402,118.2,-113.6,180.0,top
R403,44.25,-92.8,270.0,top
R404,44.2,-101.9,270.0,top
R405,44.2,-110.95,270.0,top
R406,90.6,-66.1,270.0,top
R407,99.456611,-66.1,270.0,top
R408,106.556601,-66.052298,270.0,top
R409,112.9875,-91.2,180.0,top
R410,97.556611,-66.1,90.0,top
R411,104.656601,-66.052298,90.0,top
R412,112.987501,-94.058577,180.0,top
R413,112.987501,-96.658579,180.0,top
R414,50.175,-140.5,180.0,top
SW401,92.456611,-60.523965,90.0,top
SW402,55.025,-150.5,90.0,top
SW403,99.456611,-60.523965,90.0,top
SW404,106.556601,-60.552298,90.0,top
SWD401,85.0,-60.75,90.0,top
U101,85.0,-105.0,270.0,top
U201,49.6,-131.4,180.0,top
U203,49.6,-123.399994,180.0,top
U501,50.234523,-102.5555,90.0,top
U601,50.234523,-93.6055,90.0,top
U701,50.134523,-111.7055,90.0,top
X101,61.5,-108.1,0.0,top
Y101,60.45,-100.0,270.0,top
